candidate_idx,max_prob,t_max_s,mean_prob,p95_prob,frames,bpm,subdivision,pulse_kind,carrier_hz,burst_ms,decay_ms,noise_low_hz,noise_high_hz,rms,frames_ge_0p97,detections_ge_0p97,frames_ge_0p99,detections_ge_0p99,frames_ge_0p995,detections_ge_0p995,frames_ge_0p996,detections_ge_0p996,frames_ge_0p999,detections_ge_0p999
100,0.98828125,4.78,0.36667317152023315,0.91796875,600,90,1,hybrid,700,6,25,900,5500,0.03,8,2,0,0,0,0,0,0,0,0
154,0.98828125,1.74,0.38110026717185974,0.9453125,600,90,1,tone,350,12,60,900,3500,0.03,10,2,0,0,0,0,0,0,0,0
155,0.98828125,0.39,0.13619790971279144,0.6955078124999963,600,90,1,tone,350,12,60,900,5500,0.01,5,1,0,0,0,0,0,0,0,0
156,0.98828125,1.74,0.38110026717185974,0.9453125,600,90,1,tone,350,12,60,900,5500,0.03,10,2,0,0,0,0,0,0,0,0
157,0.98828125,0.39,0.13619790971279144,0.6955078124999963,600,90,1,tone,350,12,60,1500,3500,0.01,5,1,0,0,0,0,0,0,0,0
158,0.98828125,1.74,0.38110026717185974,0.9453125,600,90,1,tone,350,12,60,1500,3500,0.03,10,2,0,0,0,0,0,0,0,0
159,0.98828125,0.39,0.13619790971279144,0.6955078124999963,600,90,1,tone,350,12,60,1500,5500,0.01,5,1,0,0,0,0,0,0,0,0
160,0.98828125,1.74,0.38110026717185974,0.9453125,600,90,1,tone,350,12,60,1500,5500,0.03,10,2,0,0,0,0,0,0,0,0
207,0.98828125,1.36,0.30022135376930237,0.9193359374999988,600,90,2,noise,350,6,60,1500,5500,0.01,11,2,0,0,0,0,0,0,0,0
236,0.98828125,0.78,0.14405599236488342,0.8359375,600,90,2,noise,700,6,60,900,5500,0.03,9,1,0,0,0,0,0,0,0,0
255,0.98828125,4.36,0.23444661498069763,0.8359375,600,90,2,noise,700,12,60,1500,5500,0.01,5,1,0,0,0,0,0,0,0,0
386,0.98828125,1.1,0.3352213501930237,0.8828125,600,120,1,noise,350,6,25,900,3500,0.03,5,2,0,0,0,0,0,0,0,0
431,0.98828125,0.23,0.2134830802679062,0.8359375,600,120,1,noise,700,6,60,1500,5500,0.01,6,1,0,0,0,0,0,0,0,0
432,0.98828125,1.73,0.22529296576976776,0.8359375,600,120,1,noise,700,6,60,1500,5500,0.03,6,1,0,0,0,0,0,0,0,0
433,0.98828125,4.1,0.3451627492904663,0.8828125,600,120,1,noise,700,12,25,900,3500,0.01,5,2,0,0,0,0,0,0,0,0
434,0.98828125,3.6,0.23891276121139526,0.8359375,600,120,1,noise,700,12,25,900,3500,0.03,8,2,0,0,0,0,0,0,0,0
440,0.98828125,4.71,0.10778646171092987,0.6015625,600,120,1,noise,700,12,25,1500,5500,0.03,3,1,0,0,0,0,0,0,0,0
445,0.98828125,1.58,0.3724674582481384,0.9453125,600,120,1,noise,700,12,60,1500,3500,0.01,12,1,0,0,0,0,0,0,0,0
448,0.98828125,1.22,0.2388802021741867,0.91796875,600,120,1,noise,700,12,60,1500,5500,0.03,6,2,0,0,0,0,0,0,0,0
483,0.98828125,3.2,0.5840625166893005,0.9609375,600,120,1,hybrid,700,6,25,900,5500,0.01,19,3,0,0,0,0,0,0,0,0
484,0.98828125,0.7000000000000001,0.5919726490974426,0.9765625,600,120,1,hybrid,700,6,25,900,5500,0.03,32,3,0,0,0,0,0,0,0,0
11,0.984375,4.16,0.24373047053813934,0.91796875,600,90,1,noise,350,6,60,900,5500,0.01,4,1,0,0,0,0,0,0,0,0
13,0.984375,4.39,0.4110156297683716,0.9453125,600,90,1,noise,350,6,60,1500,3500,0.01,8,2,0,0,0,0,0,0,0,0
28,0.984375,0.11,0.1775130182504654,0.8828125,600,90,1,noise,350,12,60,900,5500,0.03,8,2,0,0,0,0,0,0,0,0
33,0.984375,5.44,0.3632682263851166,0.91796875,600,90,1,noise,700,6,25,900,3500,0.01,7,3,0,0,0,0,0,0,0,0
45,0.984375,1.97,0.4249609410762787,0.9453125,600,90,1,noise,700,6,60,1500,3500,0.01,16,1,0,0,0,0,0,0,0,0
99,0.984375,0.12,0.3884570300579071,0.91796875,600,90,1,hybrid,700,6,25,900,5500,0.01,4,1,0,0,0,0,0,0,0,0
178,0.984375,0.07,0.7317903637886047,0.9765625,600,90,1,tone,700,12,25,900,3500,0.03,34,3,0,0,0,0,0,0,0,0
180,0.984375,0.07,0.7317903637886047,0.9765625,600,90,1,tone,700,12,25,900,5500,0.03,34,3,0,0,0,0,0,0,0,0
182,0.984375,0.07,0.7317903637886047,0.9765625,600,90,1,tone,700,12,25,1500,3500,0.03,34,3,0,0,0,0,0,0,0,0
184,0.984375,0.07,0.7317903637886047,0.9765625,600,90,1,tone,700,12,25,1500,5500,0.03,34,3,0,0,0,0,0,0,0,0
199,0.984375,3.0300000000000002,0.33325520157814026,0.91796875,600,90,2,noise,350,6,25,1500,5500,0.01,6,2,0,0,0,0,0,0,0,0
215,0.984375,5.36,0.27070313692092896,0.8359375,600,90,2,noise,350,12,25,1500,5500,0.01,3,1,0,0,0,0,0,0,0,0
224,0.984375,2.69,0.17981119453907013,0.8828125,600,90,2,noise,350,12,60,1500,5500,0.03,6,2,0,0,0,0,0,0,0,0
226,0.984375,2.94,0.18607421219348907,0.7765624999999972,600,90,2,noise,700,6,25,900,3500,0.03,1,1,0,0,0,0,0,0,0,0
231,0.984375,3.36,0.2938216030597687,0.8359375,600,90,2,noise,700,6,25,1500,5500,0.01,5,1,0,0,0,0,0,0,0,0
290,0.984375,3.4,0.501477837562561,0.91796875,600,90,2,hybrid,700,6,25,900,3500,0.03,5,1,0,0,0,0,0,0,0,0
362,0.984375,2.94,0.47126951813697815,0.91796875,600,90,2,tone,700,6,60,900,3500,0.03,3,2,0,0,0,0,0,0,0,0
364,0.984375,2.94,0.47126951813697815,0.91796875,600,90,2,tone,700,6,60,900,5500,0.03,3,2,0,0,0,0,0,0,0,0
366,0.984375,2.94,0.47126951813697815,0.91796875,600,90,2,tone,700,6,60,1500,3500,0.03,3,2,0,0,0,0,0,0,0,0
368,0.984375,2.94,0.47126951813697815,0.91796875,600,90,2,tone,700,6,60,1500,5500,0.03,3,2,0,0,0,0,0,0,0,0
403,0.984375,4.61,0.4535546898841858,0.8828125,600,120,1,noise,350,12,25,900,5500,0.01,3,1,0,0,0,0,0,0,0,0
